site,게시판,제목,URL,작성자,작성시간,조회수,댓글 수,좋아요 수,본문
클리앙,굴당,40대 미혼남 뚜따 고민,https://www.clien.net/service/board/cm_car/18914927?combine=true&q=%EC%95%84%EB%B0%98%EB%96%BC&p=0&sort=recency&boardCd=&isBoard=false,hello__world,2025-02-11 16:33:01,3359,24,0,"20대 ~ 30대초까지는 참 차에 관심이 많아서 여러 차에 동경이 컸습니다만, 사는게 바쁘다보니 차에 대한 관심도 많이 떨어졌습니다만.그래도 간간히 자동차 유튜브는 취미겸 보고 있기는 했습니다.
자동차는 부모님으로부터 받았던 아반떼xd를 타다가 차에 녹이 너무 올라오고 수리할 곳도 계속 발생해서 수출을 보내버렸고 서울로 이사와서는 아예 차 없이 지내왔습니다. 모든건 다 저축과 투자로 자산늘리기에만 포커스를 맞춰 살아왔네요.
이렇게 나름 열심히 살아왔다고 생각했는데, 어느새 돌아보니 40대 미혼의 아저씨만 남았네요 ㅎㅎ
자기객관화가 잘 된 제가 봤을때는 이대로 가다간 결혼은 어려울것 같은데 요즘 하필 번아웃이 왔는지 매일매일 반복되는 삶이 지치네요.

그래서 예전부터 너무 동경해오던 뚜따 중고를 엔카에서 검색좀 해봤는데요.
4시리즈 컨버 중고가가 생각보다 많이 떨어져있네요.
물론 차 가격이 다가 아니라는건 당연히 알고 있지만 나름 떨어진 1천만원대 중고가이고 수리비는 커버가 가능한 정도는 맞습니다만...

여태 계속 아껴오기만 한 저로써는 뚜따가 큰 즐거움을 줄지 걱정(?)이 되네요. 이래서 차는 용기로 사는게 맞는거군요.

그냥 넋두리 남겨봅니다.
"
클리앙,모공,어제 BYD Smart Driving 발표를 보고 느낀 점,https://www.clien.net/service/board/park/18914914?combine=true&q=%EC%95%84%EB%B0%98%EB%96%BC&p=0&sort=recency&boardCd=&isBoard=false,토토로원,2025-02-11 16:11:58,3057,9,0,"어제 BYD의 스마트 주행 시스템(God’s Eye) 발표를 보면서 흥미로운 점이 많았습니다.

📌발표 내용 요약

BYD는 차량의 등급과 용도에 따라 세 가지 버전의 스마트 주행 시스템을 공개했습니다.
1.    God’s Eye A (DiPilot 600)
•    3개의 LiDAR를 탑재한 최상위 버전
•    초호화 브랜드 양왕(Yangwang) 차량에 적용
2.    God’s Eye B (DiPilot 300)
•    1개의 LiDAR를 사용하는 버전
•    덴자(Denza) 브랜드 및 일부 BYD 고급 차량에 적용
3.    God’s Eye C (DiPilot 100)
•    LiDAR 없이 카메라 기반 비전 솔루션을 활용
•    BYD의 엔트리급 모델에 적용

특히 놀라운 점은 엔트리급 모델인 Seagull에도 C 레벨 자율주행이 적용된다는 것입니다.

📌느낀 점: 피처폰에서 스마트폰으로 넘어가던 시절이 떠오르다

이 발표를 보면서 피처폰에서 스마트폰으로 넘어가던 시대가 떠올랐습니다.

저는 예전에 PDA에 관심이 많았고( Todays ppc가 주요 서식지였습니다.), 지도 보고 운전하던 시절, HP iPaq을 네비게이션으로 활용했던 사람입니다. 당시에는 꽤 특이한 경우였죠.

그러던 중 아이폰 출시 소식이 들려왔고, 저는 부정적인 시각을 가졌습니다.
•    “이건 너무 일반 대중을 위한 제품이다.”
•    “PDA만의 특별함을 대체할 수 없을 것이다.”

하지만 결과적으로 3~5년 만에 피처폰은 시장에서 사라졌습니다.(PDA 도 ㅠㅠ)
사용이 편리하고 접근성이 높은 스마트폰이 대중의 선택을 받았기 때문이죠.

📌 BYD의 전략: 자동차 시장의 판을 뒤집으려 한다?

이 경험을 바탕으로 보자면, 현재 자동차 시장에서도 비슷한 변화가 일어나고 있는 듯합니다.
•    테슬라가 과거 PDA처럼 고가 & 혁신적인 이미지를 지니고 있다면,
•    BYD는 스마트폰처럼 접근성을 높여 시장을 뒤흔들 전략을 취하고 있습니다.

BYD는 엔트리급 모델에도 자율주행을 적용하여 대중화 전략을 펼치고 있습니다.
이는 스마트폰이 기존 기술을 집약해 대중화되었던 흐름과 매우 유사합니다.

현상태에서 중국이 자동차에 주도권을 갖는것 불가능하다고 생각합니다. 중국이 자동차 산업에서 경쟁력을 가지려면 기존 패러다임을 바꾸는 전략이 필수적입니다.
BYD는 자율주행의 대중화를 통해 이를 실현하려는 것 같네요.

📌 구매 의사가 생기다

저는 BYD Atto3를 시승해보고 흥미를 느끼긴 했지만, 구매할 생각까지는 없었습니다.
그런데 자율주행 기능이 탑재된 차량이 아반떼 가격에 나온다면?
솔직히 구매 의사가 생기더군요.

과연 BYD의 전략이  먹힐지 모르겠네요. 흥미진진한 Tech 세상입니다.

PS : 현대자동차는 피쳐폰 LG cyon을 보는것 같습니다."
클리앙,장터,아반테 아반떼 MD 2010~2013 실버 사이드미러 운전석 8핀 파손제품 판매,https://www.clien.net/service/board/sold/18914729?combine=true&q=%EC%95%84%EB%B0%98%EB%96%BC&p=0&sort=recency&boardCd=&isBoard=false,N/A,2025-02-11 11:00:01,1246,0,0,"

아반테 아반떼 MD 2010~2013 실버 사이드미러 운전석 8핀 파손제품 만원에 판매합니다.

파손부위는 2번 3번 6번 사진 참고 부탁드립니다.
파손부위 외 기능 (깜빡이 라이트 불들어옴, 버튼 누르면 자동접힘, 거울 각도 조절 가능) 정상 작동 합니다.
사이드미러 내부 부품 필요하신분 계실듯 싶어서 판매하게 되었습니다.

직거래시 시간 협의하에 GS25 공릉우방점 앞에서 거래 가능합니다.
﻿택배 거래시 택비 2900원 추가되며 입금 확인 후 늦어도 다음날 오전까지 발송 및 송장번호 보내드리도록 하겠습니다.

구매 문의는 판매자 연락처로 연락 부탁드리며, 네고 및 장소 변경 문의는 받지 않습니다."
클리앙,굴당,안녕하세요. 타이어 질문 드려요.,https://www.clien.net/service/board/cm_car/18914503?combine=true&q=%EC%95%84%EB%B0%98%EB%96%BC&p=0&sort=recency&boardCd=&isBoard=false,bird30,2025-02-10 22:08:38,4538,5,0,"아반떼 md 차량 타이어 4개 전부 교체하려고 하는데요.
거리는 거의 없는데(5000도 안될듯.)5, 7년되었어요.

10만원*4 정도 생각하고 있는데
한국타이어 S2 AS 를 고민하고 있습니다.

근데 이게 챗gpt에서는 단종되었다고 하고 찾아보면 판매가 잘 이루어지는 것 같기도 하고 그렇네요.
지금 사면 너무 예전에 생산된 타이어가 오는 건 아닌지 조금 고민이 되고
챗gpt가 틀리고
v2as가 단종이라는 말도 있는것 같고 뭐가 맞는지 모르겠습니다.

제가 찾아보면 그 가격대에서는 s2as가 가장 나은 선택지 같긴 한데
위의 단종관련 내용이 궁금하고
1년에 15000키로 운행 예정인데 다른 타이어 추천도 해주시면 감사하겠습니다.
저는 다나와에서 검색 후, 타이어 배송 후 장착 하려고 하는데(런타이어, abc타이어, 123타이어 등 업체들이 있네요)
꿀팁도 전수 부탁드립니다.


미리 감사합니다."
클리앙,모공,1억 깎아 줘도 “안 산다”.. 눈물의 가격 인하에도 ‘찬바람’ 쌩쌩부는 ‘이 도시’,https://www.clien.net/service/board/park/18913514?combine=true&q=%EC%95%84%EB%B0%98%EB%96%BC&p=0&sort=recency&boardCd=&isBoard=false,비쓰,2025-02-09 02:30:38,37.4 k,44,0,"전략...

지난해, 대구 서구 내당동 ‘반고개역푸르지오’는 분양가에서 1억 원을 할인하는 파격적인 조건을 내걸었다.

84㎡ 기준으로 2월 분양 당시 가격은 7억3900만 원이었지만, 이후 1억 원을 낮춘 가격으로 다시 시장에 나왔다.
시행사는 중도금 없이 계약금 5%만 내면 되고, 발코니 확장과 에어컨, 드레스룸 등 12가지 옵션을 무상 제공하는 혜택까지 추가했지만, 큰 효과를 보지 못했다.

후략...

출처: https://www.reportera.co.kr/news/daegu-apartment-unsold-problem/


대구 서구 내당동에 7억 이면 분양가가 미친거죠 ㄷㄷㄷ
3억 중반도 높다할 동내에 7억 ㅡㅡ;;

"
클리앙,굴당,현대 N 아버지 - 박준우 상무 (ft.N버지) 덕질 해보자,https://www.clien.net/service/board/cm_car/18912877?combine=true&q=%EC%95%84%EB%B0%98%EB%96%BC&p=0&sort=recency&boardCd=&isBoard=false,전자치킨,2025-02-07 17:27:24,7261,7,0,"
현대 N 부사장이시며, N브랜드 매니지먼트를 맡고계신 박 준우 상무님이라고 하네요.

나무위키에 찾아봤는데.. 없네요.. 일반인 이라서 없으신가..
동명이인으로는 예전 마셰코 1 셰프분 이 있네요.

ㅋㅋ웃긴게..

자료를 긁어볼라고 JooN park 을 검색해보니까..


BAAMM~와썹 친구들... 이 쭈니형이 나오시네요..ㅋㅋ














https://www.youtube.com/live/v-ed2TE8elQ?si=MqLNNljp80XcYuem
22:32초부터 나옴 - 츠치야 케이지가 운전해주는.. RN25e 스켈레톤 뼈다구 프레임에 얹어진 캐스퍼 일렉트릭N.. 을타고.. 성공한 덕업일치..


구아방몰뗴도 튜닝을 열심히 하셨다고 하니까, JDM도 그렇고, 원활하게 대화를 통역하는것 보아 거의 3개국어는 능통하신듯..
거기에 무림 절정 고수를 옆에 태우고 선보이는 현란한 보법이라니.. 기메킵니다.






호주를 시작해서 아5N의 여러가지 eN1 인가.. 뭐 다양한 5가지 이상의 바리에이션을 만든다고했는데..
뭐.. 금방 다 볼수있을것같긴합니다..ㄷㄷ

최근의 도쿄살롱에서 나온이야기를 보자면
아5N에 몰빵하며 앞으로 모든 전기차만 N으로 나온다는것은 아니고, 현재 내연기관 판매중인 N이 더많다고 합니다.
하지만 고성능 EV 시장에서 아5N이 위상이 대단하기떄문에, 여러각도로 노력중에있고 특별한 N을 제공하기위해 노력중이라합니다.

""고객들이 바라는 경량 후륜구동"" - 또한 잘 알고있다고 합니다.
ㅋㅋㅋㅋ

https://v.daum.net/v/20250116133003801


알버트 비어만 (이젠 고문)/ 틸 바텐베르크 상무 /토마스 쉬미에라 부사장



i30N 을시작으로 유럽에 초고추장맛 해치백을 보여주고, 다음 연달아 벨로스터 N 으로 북미시장을
그리고 아반떼 N 과 아이오닉 5N 을 전투력 측정기 포멧으로 만든 당신..

물론 알버트 비어만의 전 M 부사장의 힘도 있겠지만, 일을 빠르게 큰 현대라는 체구를 움직일수있게 윤활유 역활을 한다는점이 대단합니다.


물론 현대의 정의선 회장님(충성충성) 비호아래 이루어진것이 특징이긴하지만요.


https://signalm.sedaily.com/NewsView/29RZLRA5MZ/GX15

아이오닉 5 N 은 전기차로써 기술과 열정의 집약체라고 강조했으며, 현대차가 쌓아온 다양한 기술이 N 브랜드를 통해 현실로 펼쳐집니다.
N74 모델 또한 현대그룹의 선행기술의 집약체이며, 수년간 상상만했던것을 현실로 구현한 모델이라 하였습니다.
글로벌 고객들또한 N 브랜드의 노력을 인정하고있다는것이 매우 고무적이라 했습니다.

N은 실용성과 감성 두루 갖춘 다른 고성능에는 없는 N 브랜드만의 요소라 밝히기도했습니다.



https://www.esquirekorea.co.kr/article/57153

아반뗴 N TCR 은 같은 클래스의 혼다 시빅 타입 R TCR 보다 빨랐고, 상위 클래스인 포르쉐 911 GT3 보다도 빨랐습니다.
뉘르 24시 내구레이스에서 나왔던 결과입니다. 경기당일에 비가 많이 내렸기때문에 후륜구동보단 접지력이 좋고 코너에 유리해서 이기게 되었다고 하였습니다. TCR은 레이싱을 위해 만들어진 모델이기떄문에 단순 양산차와 비교하긴 어렵다고 합니다.
모터 스포츠는 사실 돈 먹는 하마입니다. 그런데도 계속도전하는 이유는 크게 2가지가있습니다.
첫번째는 홍보입니다. N브랜드의 고객은 운전의 즐거움을 추구하는 소비자입니다.
그들에게 어필하려면 차가 빠른것만큼이나 스토리가 중요합니다. N 브랜드를 사야하는 이미지를 구축하는겁니다.
그리하여 모터스포츠에서 유의미한 성과를 얻는것이 가장 효과적인 방법이라고 판단했습니다.
두번째는 기술력입니다. 레이싱에는 방대한 양의 데이터가 존재합니다.
연구소에서의 주행테스트가 스파링이라면, 레이싱은 피튀기는 실전입니다.
그러한 데이터는 큰 믿거름이 됩니다.

모터스포츠의 노하우를 양산차에 적용가능한가? 라는 질문에
가볍에 테크로 응답합니다. 흡기를 예를들어보겠습니다. 엔진에 바람을 불어넣는 역할을 하는흡기는
주행성능에 큰 역활을 합니다. 거기에 출력을 높이기위한 터보와 과급기 또한 같은이유입니다.
수십번의 레이싱을 통해 데이터를 쌓았습니다. 역동적인 주행을할때 안정적으로 엔진에 공기를 공급하는법을 찾았고
그것을 적용한것이 아반떼 N 입니다. 그래서 아반떼 N의 흡기방식은 경주용차에서 가져왔다고해도 과언이아닙니다.

아반뗴와 벨로스터는 태생부터 다르며 역사로보나 판매량으로 보나 그렇습니다.
N 모델이지만 퍼포먼스와 실용성을 다 잡아야합니다.
버킷시트를 적용한다는것은 퍼포먼스만 있는것이 아닌 뒷자리의 여유공간이 50mm 늘어난다는 소리이기도합니다.

현대 N에게 V8 후륜구동 슈퍼스포츠카를 왜 않만드냐는 질문에는
독일에서으 i30N 첫 출시할떄도 4만유로 이하의 가격을 유지하기위해 많은 신경을 썻습니다.
우리는 AMG나 M과 경쟁하는 브랜드가 아니며 가격도 스펙도 한참다릅니다.
차라리 골프 GTI가 경쟁상대에 가깝다 밝혔습니다.

Q. 그럼 N 브랜드의 라인업과 판매량이 점점 더 확대되는 걸까?
    모델이 추가되긴 하겠지만, 판매량은 잘 모르겠다.(웃음) 당연히 판매량을 신경 쓰지 않을 수 없다. 하지만 N 브랜드가 현대차그룹 내에서 담당해야 할 부분은 판매량이 아니라 브랜딩과 R&D이다. N이 앞서나갈수록 현대자동차의 상품성도 좋아진다.

Q. 인터뷰 내내 느꼈지만, N에 대한 애착이 굉장히 큰 것 같다.
    원래 쉽게 감동하는 타입이다.(웃음) N 브랜드 시작부터 함께했기에 더 그런 것 같다. 2010년 처음 입사했을 땐 현대차 라인업 중 ‘갖고 싶은 차’가 없었다. 티뷰론, 스쿠프 같은 차로 시작해 V8, V10 스포츠카를 타다가 갑자기 얌전한 차를 타려니 성이 차지 않았다. 그래서 N 브랜드를 꿈꿨고 다행히 목표한 바를 이루어나가고 있다. 함께하는 팀원 대부분이 나와 비슷한 성향이다. 안팎으로 넘어야 할 산이 많지만, 걱정하지 않는다. ‘덕후’의 마음으로 재밌는 차를 계속 만들 테니 부디 많은 사람이 즐겨줬으면 좋겠다.

탈것이 없어서 만들어 탄다는.. 멋진 아조씨..

박준우 현대차 상무, “아이오닉 5 N은 머리 쥐어짜며 만든 차…N팬들 덕에 힘 얻어”
""저도 차를 좋아하지만, 한국에도 글로벌 시장에도 진정으로 차를 좋아해주는 N 브랜드 팬들이 너무나 많다""며 ""이들이 브랜드 슬로건인 '네버 저스트 드라이브'를 느끼며 미소 짓는 모습에 항상 힘을 얻는다""고 전했다. 박 상무는 ""이런 팬들이 더 많이 생겨나고, 앞으로도 N 브랜드가 더 발전할 수 있도록 최선을 다하겠다""고 강조했다.
    출처 : 시사오늘(시사ON)(http://www.sisaon.co.kr)





행사 말미에 뉘르부르크링 랩타임 기록이 있냐는 질문에 박준우 상무는 이렇게 답했다.
“누가 이걸 끌고 뉘르에서 달려줬으면 좋겠어요. 우리가 시험차로 달리면 조작이네 마네 말이 나올 텐데, 이걸 검증된 전문지나 전문가가 판매되는 양산모델을 가지고 거길 끌고 들어가 달려서 기록을 내줬으면 좋겠습니다!”
https://www.cartvnews.com/news/articleView.html?idxno=615797
이쯤 되면 미쳤다고 할만하다. 이날 나온 12명의 엔지니어들은 비록 준비된 대본을 바탕으로 정제된 톤의 언어로 아이오닉 5 N을 소개했지만, 그들의 눈은 이렇게 말하고 있었다.
“우리는 미쳤습니다. 그리고 미친 듯이 이놈을 만들었습니다. 기대하셔도 됩니다!”



LINK

LINK

LINK

LINK

LINK

LINK
https://www.sedaily.com/NewsView/2D45NMOWS4

위 2024 도쿄 오토살롱
일본에서의 현대는 정말 팔리지않은 브랜드이고 브랜드 철수를 결정하게되었습니다.
하지만 다시 시간이 지나 아이오닉5통해 재진출을 준비중에 있으며,
이를통해 새로운 존재인 아5N을 통해서 일본의 자동차 마니아들에게 소통을 가능케 할것같았습니다.
그냥 5N 만 덩그라니 두는것이아닌 N퍼포파츠까지 연계하기위해 NPX1을 개발해서 공개했습니다.
일본은 전통적으로 EV보다는 내연기관을 선호하는 보수적인 국가입니다.
거기다가 현대차 를 접할수도 없는 시장 하지만 아이오닉5는 좋은 평가를 받았습니다.
최신의 기술과 차량들의 경험을 제공하기위해 N은 필요한 부분이기도 합니다.


25년 도쿄살롱인데 이번에는 DK 드리프트킹 츠치야케이지옹 에디션으로 접대 드리프트 시전

Q. 현대차는 앞으로 코나보다 작은 전기차 모델을 출시할건대 고성능은?
- 이건 말할수없는데.. 가능은 함!

Q. 일본브랜드랑 경쟁하려면 GT3 참가해야되는거아님?
- 알고있음, 근데 5N 부터 타보고 말하셈

Q. 예전에 JDM 독일차 타지않았음?
전 10대가 넘는 차량을 소유해봤고, 일본차 좋아합니다.
MR2 (SW20) 이 가장 매력적이였습니다. 엔진은 10번 내려보고, 모든부품을 직접조립해봄
그렇지만.. 그렇게하면 엔진이 또꺠지고.. 그랬습니다.
독일차는 BMW M3(E46) / C55AMG(W203)을 가장즐겼습니다.


이상 N 버지 뉴스 모음글이였습니다. [과연 이사륙 엠쓰리는 어떤차길래.. 모든이를 열광시키는걸까요]"
클리앙,굴당,글 삭제 합니다 죄송합니다,https://www.clien.net/service/board/cm_car/18912736?combine=true&q=%EC%95%84%EB%B0%98%EB%96%BC&p=0&sort=recency&boardCd=&isBoard=false,까우,2025-02-07 13:53:56,32.2 k,189,0,"압박도 딜 도 아니고
도의적인 부탁을 받았습니다
이해 부탁드립니다"
클리앙,장터,판매 완료되었습니다.,https://www.clien.net/service/board/sold/18912733?combine=true&q=%EC%95%84%EB%B0%98%EB%96%BC&p=0&sort=recency&boardCd=&isBoard=false,N/A,2025-02-07 13:48:52,1173,0,0,판매 완료되었습니다.
클리앙,굴당,"출퇴근 왕복 80km, 준중형 하브 vs 소/경형 전기차 고민",https://www.clien.net/service/board/cm_car/18912580?combine=true&q=%EC%95%84%EB%B0%98%EB%96%BC&p=0&sort=recency&boardCd=&isBoard=false,우니보스,2025-02-07 10:23:24,2671,35,0,"작년 6월 부로 출퇴근 거리가 왕복 80km(시내주행 약10km, 자동차전용 약 70km(안막힘))로 늘어나게 됐습니다.

기존 차량(스팅어 2.0T)으로 일주일 출퇴근 후, 주유하면 고급유 기준 8만원이 넘게 들어가더라구요.
한 달 정도 스팅어 유지하다가
아기도 태어났겠다, 출퇴근 거리도 늘었겠다, 여러 핑계를 만들어서
모Y RWD로 기변했습니다.

집 밥(에버온)으로 여름~가을엔 일주일에 1만원~1만5천원 정도 충전,
요즘같은 겨울엔 2만원 정도 충전하게 되네요.
근데 오는 8월 말 경, 아이 하나가 더 태어나게 됩니다..!
하여 카시트 두 개 싣고 다닐 와이프가 모Y를 몰고,
제가 출퇴근용 작은 전기차(캐스퍼 or 레이)를 마련할까 생각하던 차에

이미 전기차량이 한 대 있으니 연비 극강의 기름차를 중고로 들이는건 어떨까 생각이 듭니다.
아반떼 하이브리드 혹은 구 아이오닉 하이브리드,,
복합연비가 약20km/L 니까, 단순계산으로는 주5일 출퇴근에 약20L 소모, 현재 유가 기준으로 34,000원 정도 들겠군요.

단순계산으로도 전기차충전비용보다 주유비가 더 들지만, 캐스퍼/레이EV보다는 출퇴근길 주행이 안락할 거 같아서 고민이 됩니다.

혹시 저와 비슷한 상황에서 비슷한 고민 하셨던 분들 계실까요..?"
클리앙,굴당,열선핸들 발열 위치가 정해져있군요.,https://www.clien.net/service/board/cm_car/18911796?combine=true&q=%EC%95%84%EB%B0%98%EB%96%BC&p=0&sort=recency&boardCd=&isBoard=false,아날로그맨,2025-02-05 23:49:35,8538,21,0,"2023년식 스포티지 NQ5 하브 타고 있습니다.
예전에 없던 열선핸들 옵션이 있는 건 정말 좋은데 약간의 아쉬움이 있네요.

1단계, 즉 on/off밖에 안되는 건 그리 아쉽지 않은데
발열 포인트가 정해져있어서
운전대 전체가 따뜻해지려면 생각보다 오래 걸리더라고요.
(그 때쯤이면 이미 실내가 따뜻해져서 열선 핸들을 꺼도 되는...)

제 차 기준으로 아래 사진처럼
2시, 4시, 8시, 10시, 12시 부근만 따뜻하고 다른 부분은 차가워서
이 부분들만 잡고 운전하게 되네요.
평소에 9시 15분을 잡고 운전하는데 이 부분이 발열포인트가 아니라 아쉽네요.

첫 열선핸들 들어간 차를 타는 거라 기대로는
수도관 동파 방지용으로 감아놓는 열선처럼 전체적으로 따뜻해지는 걸 기대했는데
다른 차량도 이런 건지 아니면
발열 포인트가 더 많거나 처음부터 전체적으로 따뜻해지는 차량도 있는 건지 궁금하네요.


(위 사진은 예전에 차량 구입 고민할 때 네이버 스포티지 카페에서 받아놓았던 사진인데 출처를 알 수가 없네요.)"
