title,url,date,content,author,views,recommend,dislike,comments
아엔 때문에 흉기차 서열 꼬였지 뭐,https://gall.dcinside.com/board/view/?id=car_new1&no=10380728,2025-02-11 21:18:11,"흉기차 고성능 차 브랜드 N 하고흉기차랑 비교 하는 게 무리수긴 하지만아엔 땜에 아반떼가소나타, 그랜저 넘어 섰지 ㅋㅋ아니라고? 응 빽점~~~- dc official App",그돈씨아엔 (89.147),45,0,0,0
아반떼타다 디엣지타니까 신세계임,https://gall.dcinside.com/board/view/?id=car_new1&no=10380721,2025-02-11 21:17:13,준중형과 중형은 다른세계- dc official App,차갤러 (211.235),18,0,0,0
친구새끼 아이오닉5 팔더니아반떼신차 사려고 하네,https://gall.dcinside.com/board/view/?id=car_new1&no=10380642,2025-02-11 20:55:00,이새끼 도대체 자동차의 기준이 머지 시발,아르노 (106.102),49,0,0,0
184cm 100kg인데 캐스퍼 ㄱㄴ?아반떼ㄱㄴ?,https://gall.dcinside.com/board/view/?id=car_new1&no=10380637,2025-02-11 20:53:43,캐스퍼 ㄱㄴ? 아반떼 ㄱㄴ?,차갤러 (49.175),20,0,0,0
내가 인정하는 국산차,https://gall.dcinside.com/board/view/?id=car_new1&no=10380626,2025-02-11 20:52:02,극강의 기성비 아반떼cn76기통신차 K8 그랜저gn7 3.5프리미엄브랜드 GV70 G80 GV80 V6쏘니타 k5 그랜저k8g80gv70 2.5 = 애미씹창년 개좆병신차,hg300 (106.101),35,0,0,0
그랜저타는 할아버지는 다 버로우타라,https://gall.dcinside.com/board/view/?id=car_new1&no=10380611,2025-02-11 20:48:19,신세대는 아반떼다,ㅇㅇ (61.78),28,0,1,0
티볼리 1세대 vs 올뉴모닝 ja 뭐가 나은선택일까,https://gall.dcinside.com/mgallery/board/view/?id=used_car&no=30266,2025-02-11 20:44:43,티볼리는 900 1000모닝은700 800티볼리는 요즘 부품 구하기도 힘들다고 들었는데 그리고  초기형 1세대는 워낙 안좋다는 얘기도 많이 들었고그냥 경정비생각해서 모닝가는게 날까?다른거 후보중엔스토닉 아반떼ad 등등 ㅡ 예산 오버(세금 보험까지 천에 털고싶음)그 이하로가면 엑센트 프라이드인데 내가 원하는 매물을 못차는중 몇개월째.,ㅇㅇ (221.141),8,0,0,0
hg vs아반떼cn7,https://gall.dcinside.com/board/view/?id=car_new1&no=10380595,2025-02-11 20:42:14,승차감 누가 더 좋음?내 3시리즈 12년 되니까 아반떼만도 못한거 같음,ㅇㅇ (122.35),23,0,0,0
아반떼미라지그린 실물,https://gall.dcinside.com/board/view/?id=car_new1&no=10380590,2025-02-11 20:41:10,,차갤러 (124.146),54,1,0,0
곧 차 나온다,https://gall.dcinside.com/board/view/?id=car_new1&no=10380580,2025-02-11 20:39:07,좆스퍼 일렉트릭 풀옵내차는아니고 효도함 해보려고 차 뽑아드린다아무리생각해도 그돈씨 아반떼인데...저게 좋으시다니- dc official App,자이상향필쑤 (106.102),80,1,0,0
아반떼풀옵션이 3300밖에 안한다고?,https://gall.dcinside.com/board/view/?id=car_new1&no=10380578,2025-02-11 20:38:53,사야겠지?- dc official App,차갤러 (115.40),30,0,0,0
투루카 질문,https://gall.dcinside.com/mgallery/board/view/?id=carsharing&no=36282,2025-02-11 20:18:37,운전 개초보인데 그냥 해보자란 마인드로이전에 그린카 캐스퍼로 약 200km가량 운전 했습니다!이번에 투루카 리턴프리로 고속도로를 타볼려고 하는데차량이 다 세단 suv뿐이라 혹여나 적응이 안될까 걱정인데차잘알 중에 캐스퍼만 타다 아반떼나 k5로 넘어가면 체감이 큰지 여쭤보고 싶습니다!탈 차량은 k5 아니면 k3 아반떼 cn7 생각 중입니다(K5에 서라운드가 있어서 조금 편하지 않을까 해서요)추가로 면책 5만+ db 원데이도 넣을 예정입니다조언 댓글 다 달아주시면 감사하겠슴다,카갤러 (118.235),53,0,0,0
현실적으로아반떼=<쏘나타<<<그랜저가 맞다고봄,https://gall.dcinside.com/board/view/?id=car_new1&no=10380486,2025-02-11 20:15:00,"개인적으로 아반떼 cn7 , 메기,디엣지 , 마름저 gn7 다타본 결과아반떼 cn7 기준으로 1~2명타는거면 디엣지랑 별차이도없음다만 그랜저이상급이랑은 차이가 남마름저만해도 cn7보다 좋은게 느껴짐옛날: 경차<<<<<<아반떼<<<<<쏘나타<<<<<그랜저 였다면현재: 경차<<<<<<<<<<<아반뗴=<쏘나타<<<<<그랜저 느낌임cn7 운전안해본새끼들은 아마 중형차 어쩌고 세그먼트 어쩌고할텐데현실은 별차이없다는거임오히려 같은 세그먼트인 쏘나타랑 그랜저차이가 존나남",차갤러 (116.124),54,1,3,0
20대 후반 차 살건데아반떼vs 소나타,https://gall.dcinside.com/board/view/?id=car_new1&no=10380406,2025-02-11 19:53:28,공기업 다녀서 연봉은 영끌 6500 정도 됨.원래 차에 큰 욕심 없고 큰 차 운전도 자신 없어서 아반떼 풀옵 생각했다가 주변 지인이 자꾸 소나타는 가라 해서 고민인데아반떼 가면 진짜 별로임???차알못인데 아반떼도 진짜 좋아보이는데 소나타 연비도 별로고 차 값도 비싸잖아...고민이네,차갤러 (58.29),60,0,0,0
아반떼가 코나보다 옵션빼면 다좋은차지?,https://gall.dcinside.com/board/view/?id=car_new1&no=10380351,2025-02-11 19:39:30,승차감 연비 가성비 등등,ㅇㅇ (223.38),33,0,0,0
아반떼vs캐스퍼vs레이vs티볼리,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=8328112,2025-02-11 19:31:39,빨리 골라줘,ㅇㅇ (223.38),18,0,0,0
아반떼N 사고율 그냥아반떼보다 약간 더 높을까?,https://gall.dcinside.com/board/view/?id=car_new1&no=10380257,2025-02-11 19:03:16,- dc official App,차갤러 (118.235),33,0,0,0
소나타 DN8 센슈어스 왤케 이쁘냐,https://gall.dcinside.com/board/view/?id=car_new1&no=10380246,2025-02-11 18:59:42,아반떼ad 탄지 2년 됐는데 저거로 바꾸고싶다;,차갤러 (14.50),65,0,0,0
미국이 투싼 밭이네아반떼가 13만 투싼이20만 싼다페가 11만 대,https://gall.dcinside.com/board/view/?id=car_new1&no=10380229,2025-02-11 18:49:54,그렇치만 일본차와비교해서  손톱때만큼 팔림,ㅇㅇ (61.78),67,2,0,0
테슬라로아반떼신차값 손실중,https://gall.dcinside.com/mgallery/board/view/?id=stockus&no=9731476,2025-02-11 18:36:29,기도할테니 제발 살려다오- dc official App,ㅇㅇ (118.235),82,0,0,0
아반떼풀옵션이 3300밖에 안한다고?,https://gall.dcinside.com/board/view/?id=car_new1&no=10380185,2025-02-11 18:29:01,어 형이야.- dc official App,차갤러 (211.235),53,0,0,0
솔직히아반떼N 차는 괜찮은거 같음,https://gall.dcinside.com/mgallery/board/view/?id=stockus&no=9731109,2025-02-11 18:01:33,걍 이미지가 좆박아서 그렇지차량 자체 성능이나 컨셉 구현도는 ㅅㅌㅊ 차량은 맞는듯현대가 N시리즈 신경 존나 쓰고 있다는게 느껴짐,ㅇㅇ (175.208),46,0,0,0
중고차 살건데 조언좀,https://gall.dcinside.com/mgallery/board/view/?id=used_car&no=30256,2025-02-11 17:51:30,이번에 중고차 살건데 아반떼 cn7 1.6가솔린 인스 생각중인데 첫차라서 멀체크해야 될지 잘 모르겠어서 ㅠㅠ예산은 이전비포함 2000~2300 생각중 부탁해형들,중갤러 (61.85),63,0,0,0
아반떼N 타본사람 있냐,https://gall.dcinside.com/board/view/?id=yunha&no=6558301,2025-02-11 17:38:41,후기좀,휴식은레스트 (222.109),61,0,0,0
아반떼신차 개비싸잖아,https://gall.dcinside.com/board/view/?id=yunha&no=6558296,2025-02-11 17:33:37,부자냐,티렉스버거 (222.109),38,0,0,0
아반떼풀옵뽑을돈 모았는데 ㄱ?,https://gall.dcinside.com/board/view/?id=bitcoins_new1&no=7939173,2025-02-11 17:31:54,걍 그랜져 중고나 살까?- dc official App,후토모모 (117.111),236,0,0,0
K3도 사라졌는데아반떼대항마 누구냐,https://gall.dcinside.com/board/view/?id=yunha&no=6558295,2025-02-11 17:31:09,전기차는 상종 안 함,TaikFive (222.109),51,0,0,0
"아이3명=팰리세이드, 아이1~2명=그랜저,싼타페, 미혼=아반떼,쏘나타",https://gall.dcinside.com/board/view/?id=car_new1&no=10380042,2025-02-11 17:24:08,투싼은 왜 사는지 모르겠음,차갤러 (223.62),49,0,0,0
요새아반떼가아반떼냐,https://gall.dcinside.com/board/view/?id=yunha&no=6558281,2025-02-11 17:15:36,길들이기 끝난 미국브랜드 차랑 바꾸자​(스파크),TaikFive (222.109),65,0,0,0
잘나가봐야아반떼새삥,https://gall.dcinside.com/board/view/?id=yunha&no=6558277,2025-02-11 17:11:05,계약 완 ㅋㅋㅋ드디어 뚜벅초 탈출이네,띠어리 (222.109),61,0,0,0
아반떼풀옵션이 3300밖에 안한다고?,https://gall.dcinside.com/board/view/?id=car_new1&no=10380005,2025-02-11 17:07:59,사야겠지?- dc official App,차갤러 (211.235),73,0,0,0
배찌야아반떼뽑은 거 축하한다,https://gall.dcinside.com/board/view/?id=car_new1&no=10379999,2025-02-11 17:05:16,?,ㅇㅇ (116.121),75,2,0,0
